 Title of your event,Short description of your event,Long description of your event,Event date,Event date (end) if you have a multi-day event,Starting time,End time,Event URL,Lisbon,Event type,Speaker(s),Sponsor(s),Address,Venue,Image,Url note
EthLisbon Hackathon (Day 1),The place for BUIDLers and innovators ,"EthLisbon is the most anticipated hackathon event in recent times, and the one that originated the Lisbon Blokchain Week in the first place. Join us for 3 days of non-stop BUIDLing and innovation!",10/22/2021,10/22/2021,09:00:00 AM,12:00:00 AM,https://www.ethlisbon.org/,The Fintech House,"hackathons, workshops",TBA,"Lightshift Capital, 1kx, Department of Decentralization, The Block, Portugal Fintech, Fintech House","Praça da Alegria 22, 1250-217 Lisboa, Portugal",The Fintech House,"https://static.wixstatic.com/media/493ae1_583671f0ce4d4c319c01a76d1c429d37~mv2.png/v1/fill/w_2048,h_522,al_c,q_90/493ae1_583671f0ce4d4c319c01a76d1c429d37~mv2.webp",
EthLisbon Hackathon (Day 2),The place for BUIDLers and innovators ,"EthLisbon is the most anticipated hackathon event in recent times, and the one that originated the Lisbon Blokchain Week in the first place. Join us for 3 days of non-stop BUIDLing and innovation!",10/23/2021,10/23/2021,09:00:00 AM,12:00:00 AM,https://www.ethlisbon.org/,The Fintech House,"hackathons, workshops",TBA,"Lightshift Capital, 1kx, Department of Decentralization, The Block, Portugal Fintech, Fintech House","Praça da Alegria 22, 1250-217 Lisboa, Portugal",The Fintech House,"https://static.wixstatic.com/media/493ae1_583671f0ce4d4c319c01a76d1c429d37~mv2.png/v1/fill/w_2048,h_522,al_c,q_90/493ae1_583671f0ce4d4c319c01a76d1c429d37~mv2.webp",
EthLisbon Hackathon (Day 3),The place for BUIDLers and innovators ,"EthLisbon is the most anticipated hackathon event in recent times, and the one that originated the Lisbon Blokchain Week in the first place. Join us for 3 days of non-stop BUIDLing and innovation!",10/24/2021,10/24/2021,09:00:00 AM,12:00:00 AM,https://www.ethlisbon.org/,The Fintech House,"hackathons, workshops",TBA,"Lightshift Capital, 1kx, Department of Decentralization, The Block, Portugal Fintech, Fintech House","Praça da Alegria 22, 1250-217 Lisboa, Portugal",The Fintech House,"https://static.wixstatic.com/media/493ae1_583671f0ce4d4c319c01a76d1c429d37~mv2.png/v1/fill/w_2048,h_522,al_c,q_90/493ae1_583671f0ce4d4c319c01a76d1c429d37~mv2.webp",
Pharty,LisCon party for degens and privacy freaks,"Join Phala Network and others for a night to remember!

No panels or presentations: just drinks, music, food and awesome people.

Join us in the outdoor bar, followed by late night tunes by Tolga Fidan in the speakeasy.",10/20/2021,2/20/2021,7:00:00 PM,2:00:00 AM,Coming soon,BOA,drinks,Who needs speakers?,"Phala Network, and others",,,,
Blockchain for Surfers,Surfing with like minded crypto enthusiast.,"What we do requires grueling hours in front of the screen. I've always enjoyed getting out in nature at least once a day for an hour or so, just for a nice reset. I see this as the start of a sub-community of blockchain and crypto enthusiast who are passionate about surfing - and a great kickoff to the conference.",10/18/2021,10/18/2021,4:00:00 PM,6:00:00 PM,morphyhodls.com,"Coxos Beach, Ericeira",sport,,Morphy,,,,
Liscon Launch Party w/ Spectral,Spectral is hosting a launch party on Oct 20th along with Social Capital celebrating Lisbon Blockchain Week and Spectral's launch of its protocol for programmable creditworthiness. Flyer/invitation and additional info will be finalized soon.,Spectral is hosting a launch party on Oct 20th along with Social Capital and Polychain celebrating Lisbon Blockchain Week and Spectral's launch of its protocol for programmable creditworthiness.,10/20/2021,10/20/2021,6:00:00 PM,12:00:00 AM,Coming soon,"Tram Museum
R. 1º de Maio 101 103, 1300-472 Lisboa, Portugal",drinks,n/a,Spectral & Social Capital,"Tram Museum, R. 1º de Maio 101 103, 1300-472 Lisboa, Portugal",Tram Museum,,
WalletConnect Rooftop Party,Grab a drink with WalletConnect and enjoy the sunset,To celebrate our new WalletConnect v2.0 protocol and the launch of our new WalletConnect Cloud platform we are inviting our community to enjoy an afternoon event with like-minded people and grab a drink,10/23/2021,10/23/2021,7:00:00 PM,10:00:00 PM,https://www.eventbrite.com/e/walletconnect-rooftop-party-tickets-173079374067,Rooftop Bar - Hotel Mundial,drinks,Pedro Gomes,WalletConnect,,Rooftop Bar - Hotel Mundial,,
DXdao - Future of Prediction Markets + Happy Hour,"Hosted by DXdao, this event will include a panel discussion and presentation around prediction markets, followed by happy hour. We will provide the drinks!","Come join us for an afternoon of networking and discussion around the Future of Prediction Markets during Lisbon Blockchain week!

Hosted by DXdao, this event will include a panel discussion and presentation around prediction markets, followed by happy hour. We will provide the drinks!

Reach out on Discord if you need to contact us.",10/22/2021,10/22/2021,2:00:00 PM,5:00:00 PM,https://www.meetup.com/TheBlock/events/280380310/?_xtd=gatlbWFpbF9jbGlja9oAJGFjNGI2M2EwLWQxYTEtNDRlZi04MTE5LTg5Zjk4ODIyMzQ1YQ&_af=event&_af_eid=280380310,The Block,workshop,Some,,,,,
DeNites,The decentralized after parties hosted by locals.,"DeNites are decentralized after parties to showcase local web3 projects and startups in the most entertaining and fun way possible. We believe lasting connections happen when you're having fun, not by attending conferences. After 18 months of hiding in our homes, it's time for web3 founders, builders and creators to meet IRL and create stronger bonds. ",10/21/2021,10/21/2021,6:00:00 PM,11:59:00 PM,denites.com,Secret rooftop,drinks,"BEPRO, Exeedme, RealFevr, Subvisual, Taikai, Talent Protocol, Utrust",,,,,
The DAOist After Party ,DAOs are a Festival in the MetaVerse - but in meatspace we dance,"Massage, Nap time, Crunch time. ",10/19/2021,10/19/2021,4:00:00 PM,3:00:00 AM,thedaoist.co,Secret,drinks,,"dxDAO, Brink and Witnet",,Secret,,
Mempool Party,"Let's be honest, it's just a party.","Let's be honest, it's just a party. Great music, free drinks & awesome people.",10/20/2021,10/20/2021,8:00:00 PM,6:00:00 AM,https://mempool.club/,"Arroz Estudios, Av. Infante Dom Henrique, 1900-320 Lisboa, Portugal",drinks,"No speakers
No networking,
No peeing in the mempool",,"Arroz Estudios, Av. Infante Dom Henrique, 1900-320 Lisboa, Portugal",Arroz Estudios,,
Women in Blockchain House 1,Women in Blockchain House - Free accomodation,"We have booked a house in central Lisbon, for those looking to stay and connect with other female founders/ hackers / participants of #liscon and #ethlisbon. If you want to stay with us free of charge, email hi@raffaelarein.com or dm @raffaelarein",10/18/2021,10/18/2021,1:00:00 PM,11:00:00 AM,https://twitter.com/raffaelarein/status/1441311755443982338?s=20,AirBnB in Bairro Alto ,accomodation,Raffaela Rein,,,AirBnB in Bairro Alto ,,
Women in Blockchain House 2,Women in Blockchain House - Free accomodation,"We have booked a house in central Lisbon, for those looking to stay and connect with other female founders/ hackers / participants of #liscon and #ethlisbon. If you want to stay with us free of charge, email hi@raffaelarein.com or dm @raffaelarein",10/19/2021,10/19/2021,1:00:00 PM,11:00:00 AM,https://twitter.com/raffaelarein/status/1441311755443982338?s=20,AirBnB in Bairro Alto ,accomodation,Raffaela Rein,,,AirBnB in Bairro Alto ,,
Women in Blockchain House 3,Women in Blockchain House - Free accomodation,"We have booked a house in central Lisbon, for those looking to stay and connect with other female founders/ hackers / participants of #liscon and #ethlisbon. If you want to stay with us free of charge, email hi@raffaelarein.com or dm @raffaelarein",10/20/2021,10/20/2021,1:00:00 PM,11:00:00 AM,https://twitter.com/raffaelarein/status/1441311755443982338?s=20,AirBnB in Bairro Alto ,accomodation,Raffaela Rein,,,AirBnB in Bairro Alto ,,
Women in Blockchain House 4,Women in Blockchain House - Free accomodation,"We have booked a house in central Lisbon, for those looking to stay and connect with other female founders/ hackers / participants of #liscon and #ethlisbon. If you want to stay with us free of charge, email hi@raffaelarein.com or dm @raffaelarein",10/21/2021,10/21/2021,1:00:00 PM,11:00:00 AM,https://twitter.com/raffaelarein/status/1441311755443982338?s=20,AirBnB in Bairro Alto ,accomodation,Raffaela Rein,,,AirBnB in Bairro Alto ,,
Women in Blockchain House 5,Women in Blockchain House - Free accomodation,"We have booked a house in central Lisbon, for those looking to stay and connect with other female founders/ hackers / participants of #liscon and #ethlisbon. If you want to stay with us free of charge, email hi@raffaelarein.com or dm @raffaelarein",10/22/2021,10/22/2021,1:00:00 PM,11:00:00 AM,https://twitter.com/raffaelarein/status/1441311755443982338?s=20,AirBnB in Bairro Alto ,accomodation,Raffaela Rein,,,AirBnB in Bairro Alto ,,
Women in Blockchain House 6,Women in Blockchain House - Free accomodation,"We have booked a house in central Lisbon, for those looking to stay and connect with other female founders/ hackers / participants of #liscon and #ethlisbon. If you want to stay with us free of charge, email hi@raffaelarein.com or dm @raffaelarein",10/23/2021,10/23/2021,1:00:00 PM,11:00:00 AM,https://twitter.com/raffaelarein/status/1441311755443982338?s=20,AirBnB in Bairro Alto ,accomodation,Raffaela Rein,,,AirBnB in Bairro Alto ,,
Women in Blockchain House 7,Women in Blockchain House - Free accomodation,"We have booked a house in central Lisbon, for those looking to stay and connect with other female founders/ hackers / participants of #liscon and #ethlisbon. If you want to stay with us free of charge, email hi@raffaelarein.com or dm @raffaelarein",10/24/2021,10/24/2021,1:00:00 PM,11:00:00 AM,https://twitter.com/raffaelarein/status/1441311755443982338?s=20,AirBnB in Bairro Alto ,accomodation,Raffaela Rein,,,AirBnB in Bairro Alto ,,
Encode Hacker House 1,Free accommodation in a big house in Marvila,Encode Club has booked a house where any hacker or ETH Lisbon attendee can stay with us free of charge. Just email anthony@encode.club if you're interested.,10/18/2021,10/18/2021,1:00:00 PM,1:00:00 PM,,"Hacker hangar:  Avenida Infante Dom Henrique, Edificio Beira Rio,",accomodation,Encode Club,,"Avenida Infante Dom Henrique, Edificio Beira Rio, Lisboa, Portugal",Hacker hangar,,
Encode Hacker House 2,Free accommodation in a big house in Marvila,Encode Club has booked a house where any hacker or ETH Lisbon attendee can stay with us free of charge. Just email anthony@encode.club if you're interested.,10/19/2021,10/19/2021,1:00:00 PM,1:00:00 PM,,"Hacker hangar:  Avenida Infante Dom Henrique, Edificio Beira Rio,",accomodation,Encode Club,,"Avenida Infante Dom Henrique, Edificio Beira Rio, Lisboa, Portugal",Hacker hangar,,
Encode Hacker House 3,Free accommodation in a big house in Marvila,Encode Club has booked a house where any hacker or ETH Lisbon attendee can stay with us free of charge. Just email anthony@encode.club if you're interested.,10/20/2021,10/20/2021,1:00:00 PM,1:00:00 PM,,"Hacker hangar:  Avenida Infante Dom Henrique, Edificio Beira Rio,",accomodation,Encode Club,,"Avenida Infante Dom Henrique, Edificio Beira Rio, Lisboa, Portugal",Hacker hangar,,
Encode Hacker House 4,Free accommodation in a big house in Marvila,Encode Club has booked a house where any hacker or ETH Lisbon attendee can stay with us free of charge. Just email anthony@encode.club if you're interested.,10/21/2021,10/21/2021,1:00:00 PM,1:00:00 PM,,"Hacker hangar:  Avenida Infante Dom Henrique, Edificio Beira Rio,",accomodation,Encode Club,,"Avenida Infante Dom Henrique, Edificio Beira Rio, Lisboa, Portugal",Hacker hangar,,
Encode Hacker House 5,Free accommodation in a big house in Marvila,Encode Club has booked a house where any hacker or ETH Lisbon attendee can stay with us free of charge. Just email anthony@encode.club if you're interested.,10/22/2021,10/22/2021,1:00:00 PM,1:00:00 PM,,"Hacker hangar:  Avenida Infante Dom Henrique, Edificio Beira Rio,",accomodation,Encode Club,,"Avenida Infante Dom Henrique, Edificio Beira Rio, Lisboa, Portugal",Hacker hangar,,
Encode Hacker House 6,Free accommodation in a big house in Marvila,Encode Club has booked a house where any hacker or ETH Lisbon attendee can stay with us free of charge. Just email anthony@encode.club if you're interested.,10/23/2021,10/23/2021,1:00:00 PM,1:00:00 PM,,"Hacker hangar:  Avenida Infante Dom Henrique, Edificio Beira Rio,",accomodation,Encode Club,,"Avenida Infante Dom Henrique, Edificio Beira Rio, Lisboa, Portugal",Hacker hangar,,
Encode Hacker House 7,Free accommodation in a big house in Marvila,Encode Club has booked a house where any hacker or ETH Lisbon attendee can stay with us free of charge. Just email anthony@encode.club if you're interested.,10/24/2021,10/24/2021,1:00:00 PM,1:00:00 PM,,"Hacker hangar:  Avenida Infante Dom Henrique, Edificio Beira Rio,",accomodation,Encode Club,,"Avenida Infante Dom Henrique, Edificio Beira Rio, Lisboa, Portugal",Hacker hangar,,
Blockchain and Metaverse: reimagine the future 1,"The metaverse is a concept of a persistent, online, 3D universe that combines multiple virtual spaces. How does blockchain technology enable transparent and reliable governance systems here, and where does crypto fit into the space? ","The metaverse is a concept of a persistent, online, 3D universe that combines multiple different virtual spaces. You can think of it as a future iteration of the internet. The metaverse will allow users to work, meet, game, and socialize together in these 3D spaces.

The metaverse isn’t fully in existence, but some platforms contain metaverse-like elements. Video games currently provide the closest metaverse experience on offer. Developers have pushed the boundaries of what a game is through hosting in-game events and creating virtual economies.

Although not required, cryptocurrencies can be a great fit for a metaverse. They allow for creating a digital economy with different types of utility tokens and virtual collectibles (NFTs). The metaverse would also benefit from the use of crypto wallets, such as Trust Wallet and MetaMask. Also, blockchain technology can provide transparent and reliable governance systems.

Blockchain, metaverse-like applications already exist and provide people with liveable incomes. Axie Infinity is one play-to-earn game that many users play to support their income. SecondLive and Decentraland are other examples of successfully mixing the blockchain world and virtual reality apps.

During this invitation-only networking event, we’ll include industry gurus in blockchain, crypto and gaming, XR to reimagine the future together. ",10/18/2021,10/18/2021,8:00:00 PM,12:00:00 AM,https://docs.google.com/forms/d/e/1FAIpQLSedviZKV5tg0m7S2nHBOUeMjPT-ht1nn-zNg8-HCDRXO0JVKg/viewform?usp=pp_url ,"R. Rodrigo da Fonseca 2, 1250-191 Lisboa, Portugal","events,drinks","Epic Games, Unity, Niantic, TikTok, Ubisoft",Www.Metaverse-summit.org,,TBD,,
Blockchain and Metaverse: reimagine the future 2,"The metaverse is a concept of a persistent, online, 3D universe that combines multiple virtual spaces. How does blockchain technology enable transparent and reliable governance systems here, and where does crypto fit into the space? ","The metaverse is a concept of a persistent, online, 3D universe that combines multiple different virtual spaces. You can think of it as a future iteration of the internet. The metaverse will allow users to work, meet, game, and socialize together in these 3D spaces.

The metaverse isn’t fully in existence, but some platforms contain metaverse-like elements. Video games currently provide the closest metaverse experience on offer. Developers have pushed the boundaries of what a game is through hosting in-game events and creating virtual economies.

Although not required, cryptocurrencies can be a great fit for a metaverse. They allow for creating a digital economy with different types of utility tokens and virtual collectibles (NFTs). The metaverse would also benefit from the use of crypto wallets, such as Trust Wallet and MetaMask. Also, blockchain technology can provide transparent and reliable governance systems.

Blockchain, metaverse-like applications already exist and provide people with liveable incomes. Axie Infinity is one play-to-earn game that many users play to support their income. SecondLive and Decentraland are other examples of successfully mixing the blockchain world and virtual reality apps.

During this invitation-only networking event, we’ll include industry gurus in blockchain, crypto and gaming, XR to reimagine the future together. ",10/19/2021,10/19/2021,8:00:00 PM,12:00:00 AM,https://docs.google.com/forms/d/e/1FAIpQLSedviZKV5tg0m7S2nHBOUeMjPT-ht1nn-zNg8-HCDRXO0JVKg/viewform?usp=pp_url ,"R. Rodrigo da Fonseca 2, 1250-191 Lisboa, Portugal","events,drinks","Epic Games, Unity, Niantic, TikTok, Ubisoft",Www.Metaverse-summit.org,,TBD,,
Blockchain and Metaverse: reimagine the future 3,"The metaverse is a concept of a persistent, online, 3D universe that combines multiple virtual spaces. How does blockchain technology enable transparent and reliable governance systems here, and where does crypto fit into the space? ","The metaverse is a concept of a persistent, online, 3D universe that combines multiple different virtual spaces. You can think of it as a future iteration of the internet. The metaverse will allow users to work, meet, game, and socialize together in these 3D spaces.

The metaverse isn’t fully in existence, but some platforms contain metaverse-like elements. Video games currently provide the closest metaverse experience on offer. Developers have pushed the boundaries of what a game is through hosting in-game events and creating virtual economies.

Although not required, cryptocurrencies can be a great fit for a metaverse. They allow for creating a digital economy with different types of utility tokens and virtual collectibles (NFTs). The metaverse would also benefit from the use of crypto wallets, such as Trust Wallet and MetaMask. Also, blockchain technology can provide transparent and reliable governance systems.

Blockchain, metaverse-like applications already exist and provide people with liveable incomes. Axie Infinity is one play-to-earn game that many users play to support their income. SecondLive and Decentraland are other examples of successfully mixing the blockchain world and virtual reality apps.

During this invitation-only networking event, we’ll include industry gurus in blockchain, crypto and gaming, XR to reimagine the future together. ",10/20/2021,10/20/2021,8:00:00 PM,12:00:00 AM,https://docs.google.com/forms/d/e/1FAIpQLSedviZKV5tg0m7S2nHBOUeMjPT-ht1nn-zNg8-HCDRXO0JVKg/viewform?usp=pp_url ,"R. Rodrigo da Fonseca 2, 1250-191 Lisboa, Portugal","events,drinks","Epic Games, Unity, Niantic, TikTok, Ubisoft",Www.Metaverse-summit.org,,TBD,,
Blockchain and Metaverse: reimagine the future 4,"The metaverse is a concept of a persistent, online, 3D universe that combines multiple virtual spaces. How does blockchain technology enable transparent and reliable governance systems here, and where does crypto fit into the space? ","The metaverse is a concept of a persistent, online, 3D universe that combines multiple different virtual spaces. You can think of it as a future iteration of the internet. The metaverse will allow users to work, meet, game, and socialize together in these 3D spaces.

The metaverse isn’t fully in existence, but some platforms contain metaverse-like elements. Video games currently provide the closest metaverse experience on offer. Developers have pushed the boundaries of what a game is through hosting in-game events and creating virtual economies.

Although not required, cryptocurrencies can be a great fit for a metaverse. They allow for creating a digital economy with different types of utility tokens and virtual collectibles (NFTs). The metaverse would also benefit from the use of crypto wallets, such as Trust Wallet and MetaMask. Also, blockchain technology can provide transparent and reliable governance systems.

Blockchain, metaverse-like applications already exist and provide people with liveable incomes. Axie Infinity is one play-to-earn game that many users play to support their income. SecondLive and Decentraland are other examples of successfully mixing the blockchain world and virtual reality apps.

During this invitation-only networking event, we’ll include industry gurus in blockchain, crypto and gaming, XR to reimagine the future together. ",10/21/2021,10/21/2021,8:00:00 PM,12:00:00 AM,https://docs.google.com/forms/d/e/1FAIpQLSedviZKV5tg0m7S2nHBOUeMjPT-ht1nn-zNg8-HCDRXO0JVKg/viewform?usp=pp_url ,"R. Rodrigo da Fonseca 2, 1250-191 Lisboa, Portugal","events,drinks","Epic Games, Unity, Niantic, TikTok, Ubisoft",Www.Metaverse-summit.org,,TBD,,
rAAVE,AAVE & ETHLisbon After Party,AAVE & ETHLisbon After Party,10/24/2021,10/24/2021,9:00:00 PM,4:00:00 AM,https://www.ethlisbon.org/,Estufa Fria,drinks,No Speakers,,,Estufa Fria,,
Conference,NEAR Protocol one year mainnet celebration,"NEARCON is an event open to everyone to come and celebrate NEAR's 1 Year Anniversary since Mainnet launch. Immerse yourself in two days of talks, networking, workshops and a whole lot more provided by the NEAR Ecosystem and its Community.",10/26/2021,10/27/2021,9:00:00 AM,8:00:00 PM,https://nearcon.org/,"Carpintarias de São Lázaro - 72 Rua de São Lázaro
Lisboa, Lisboa - 1150-199",conferences,"Speaker Highlights

Illia Polosukhin

Co-founder & CEO

NEAR Protocol

Mildred Idada

Partner

Open Web Collective

Erik Trautman

CEO
NEAR Foundation

James Young

Co-founder

Abridged & Collab.land

Carolin Wend

Co-founder

Mintbase

Max Zavershynskyi

Head of Engineering

NEAR Protocol

Nate Geier

Co-founder

Mintbase

Kendall Cole

Co-founder

Proximity

Richard Muirhead

Managing Partner

Fabric Ventures

Sasha Hudzilin

Co-creator

Human Guild

Josh Quintal

Product Manager

NEAR Protocol

Amos Zhang

GM APAC

NEAR Protocol

Grace Torrellas

Head of Community

NEAR Foundation

and many more",,"Carpintarias de São Lázaro - 72 Rua de São Lázaro
Lisboa, Lisboa - 1150-199",Carpintarias de São Lázaro,,
Full Time Token Holder by PieDAO,"Prepare-se para a festa, or in other words get ready to party! Join PieDAO as we celebrate the launch of PieDAO staking & governance mining!","PieDAO community is hosting its first ever Lisbon festa around EthLisbon, and we have a reason to celebrate!

With our launch of Staking & Governance mining, the concept of work will never feel the same. From now you can sit back, govern PieDAO, get your monthly cashflows, and... come party with us in Lisbon!

And to help you get into the mood, we'll be giving away #FullTimeTokenHolder must-haves like our limited-edition Ray Dalio sunglesses, flip flops, beach bags, and tank tops.

RSVP to make sure you don't miss your spot!",10/21/2021,10/21/2021,8:00:00 PM,2:00:00 AM,https://www.eventbrite.com/e/full-time-token-holder-by-piedao-tickets-181878402197,"The Flat, Calçada Ribeiro Santos 37 1º andar, 1200-769 Lisboa",drinks,n/a,,"The Flat, Calçada Ribeiro Santos 37 1º andar, 1200-769 Lisboa",The Flat,,
Women in Blockchain House,Come join us for a pre-conference get together.,Come join us for a pre-conference get together. Men welcome too.,10/18/2021,10/18/2021,7:00:00 PM,9:00:00 PM,,Secret,dinner,Women in Blockchain House,,,Secret,,
Party with Polkastarter,Party with Polkastarter and co as we talk crypto and more (obviously!) at one of Lisbon's finest locations. DJ included.,"Rendezvous at the Polkastarter Warehouse, in Santos, Lisboa, and get your party faces and attires on to celebrate a warm October night in the beautiful Portuguese capital. Besides guaranteeing for good vibes and spicy beats (courtesy of our DJ), you can also count on us for best-in-class spirits, an atmosphere worthy of your attendance and splendid company.
Come for the crypto and stay for the 'and more'.",10/20/2021,10/20/2021,5:00:00 PM,9:00:00 PM,https://www.eventbrite.pt/e/party-with-polkastarter-tickets-180096432277,"J9A Warehouse, 18-20, Jardim 9 de Abril, 1200-736 Lisboa",drinks,No speakers,,"J9A Warehouse, 18-20, Jardim 9 de Abril, 1200-736 Lisboa",J9A Warehouse,,
